Mem: 160332K used, 271944K free, 14720K shrd, 10832K buff, 50732K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.30 1.33 1.09 3/150 1758
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1751     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1740     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1726     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1752     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1002     1 root     S     1984   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
  968     1 root     S     1848   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyVUART0
  949     1 root     S     1712   0%   0% /usr/sbin/rngd -f
  524     2 root     SWN      0   0%   0% [jffs2_gcd_mtd5]
    6     2 root     SW       0   0%   0% [ksoftirqd/0]
 1062     2 root     SW       0   0%   0% [kworker/0:5]
    5     2 root     SW       0   0%   0% [kworker/u2:0]
    3     2 root     SW       0   0%   0% [kworker/0:0]
    2     0 root     SW       0   0%   0% [kthreadd]
    4     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
    8     2 root     SW       0   0%   0% [watchdog/0]
    9     2 root     SW       0   0%   0% [kdevtmpfs]
   10     2 root     SW       0   0%   0% [khungtaskd]
   61     2 root     SW       0   0%   0% [kworker/u2:2]
  142     2 root     SW       0   0%   0% [oom_reaper]
  143     2 root     SW<      0   0%   0% [writeback]
  144     2 root     SW<      0   0%   0% [bioset]
  146     2 root     SW<      0   0%   0% [kblockd]
  148     2 root     SW<      0   0%   0% [watchdogd]
  185     2 root     SW       0   0%   0% [kswapd0]
  186     2 root     SW<      0   0%   0% [bioset]
  217     2 root     SW       0   0%   0% [hwrng]
  219     2 root     SW<      0   0%   0% [bioset]
  220     2 root     SW<      0   0%   0% [bioset]
  221     2 root     SW<      0   0%   0% [bioset]
  222     2 root     SW<      0   0%   0% [bioset]
  223     2 root     SW<      0   0%   0% [bioset]
  224     2 root     SW<      0   0%   0% [bioset]
  225     2 root     SW<      0   0%   0% [bioset]
  226     2 root     SW<      0   0%   0% [bioset]
  227     2 root     SW<      0   0%   0% [bioset]
  228     2 root     SW<      0   0%   0% [bioset]
  229     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  231     2 root     SW<      0   0%   0% [bioset]
  232     2 root     SW<      0   0%   0% [bioset]
  233     2 root     SW<      0   0%   0% [bioset]
  234     2 root     SW<      0   0%   0% [bioset]
  267     2 root     SW<      0   0%   0% [bioset]
  270     2 root     SW<      0   0%   0% [bioset]
  273     2 root     SW<      0   0%   0% [bioset]
  276     2 root     SW<      0   0%   0% [bioset]
  280     2 root     SW<      0   0%   0% [bioset]
  283     2 root     SW<      0   0%   0% [bioset]
  286     2 root     SW<      0   0%   0% [bioset]
  289     2 root     SW<      0   0%   0% [bioset]
  300     2 root     SW<      0   0%   0% [bioset]
  305     2 root     SW<      0   0%   0% [bioset]
  310     2 root     SW<      0   0%   0% [bioset]
  315     2 root     SW<      0   0%   0% [bioset]
  320     2 root     SW<      0   0%   0% [bioset]
  325     2 root     SW<      0   0%   0% [bioset]
  330     2 root     SW<      0   0%   0% [bioset]
  335     2 root     SW<      0   0%   0% [bioset]
  374     2 root     SW<      0   0%   0% [occ]
  471     2 root     SW<      0   0%   0% [ipv6_addrconf]
  501     2 root     SW<      0   0%   0% [kworker/0:1H]
 1346     2 root     SW       0   0%   0% [kworker/0:2]
 1547     2 root     SW       0   0%   0% [kworker/0:1]
