MemTotal:         432332 kB
MemFree:          200352 kB
MemAvailable:     245896 kB
Buffers:           10952 kB
Cached:           117056 kB
SwapCached:            0 kB
Active:           149896 kB
Inactive:          58300 kB
Active(anon):     117040 kB
Inactive(anon):    43572 kB
Active(file):      32856 kB
Inactive(file):    14728 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         80204 kB
Mapped:            24184 kB
Shmem:             80424 kB
Slab:              15136 kB
SReclaimable:       8456 kB
SUnreclaim:         6680 kB
KernelStack:        1264 kB
PageTables:         2636 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216164 kB
Committed_AS:     369600 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
