Mem: 266580K used, 165752K free, 88888K shrd, 11012K buff, 125548K cached
CPU:   0% usr   9% sys   0% nic  90% idle   0% io   0% irq   0% sirq
Load average: 0.67 0.59 0.75 1/144 18012
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
18012 18008 root     R     2992   1%   9% top -n 1 -b
  939     1 root     S     1848   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyVUART0
  936     1 root     S     1712   0%   0% /usr/sbin/rngd -f
    6     2 root     SW       0   0%   0% [ksoftirqd/0]
  514     2 root     SWN      0   0%   0% [jffs2_gcd_mtd5]
    8     2 root     SW       0   0%   0% [watchdog/0]
15429     2 root     SW       0   0%   0% [kworker/u2:0]
    2     0 root     SW       0   0%   0% [kthreadd]
  219     2 root     SW<      0   0%   0% [bioset]
    4     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
    9     2 root     SW       0   0%   0% [kdevtmpfs]
   10     2 root     SW       0   0%   0% [khungtaskd]
  140     2 root     SW       0   0%   0% [oom_reaper]
  141     2 root     SW<      0   0%   0% [writeback]
  142     2 root     SW<      0   0%   0% [bioset]
  144     2 root     SW<      0   0%   0% [kblockd]
  146     2 root     SW<      0   0%   0% [watchdogd]
  184     2 root     SW       0   0%   0% [kswapd0]
  185     2 root     SW<      0   0%   0% [bioset]
  217     2 root     SW<      0   0%   0% [bioset]
  218     2 root     SW<      0   0%   0% [bioset]
  220     2 root     SW<      0   0%   0% [bioset]
  221     2 root     SW<      0   0%   0% [bioset]
  222     2 root     SW<      0   0%   0% [bioset]
  223     2 root     SW<      0   0%   0% [bioset]
  224     2 root     SW<      0   0%   0% [bioset]
  225     2 root     SW<      0   0%   0% [bioset]
  226     2 root     SW<      0   0%   0% [bioset]
  227     2 root     SW<      0   0%   0% [bioset]
  228     2 root     SW<      0   0%   0% [bioset]
  229     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  231     2 root     SW<      0   0%   0% [bioset]
  232     2 root     SW<      0   0%   0% [bioset]
  266     2 root     SW<      0   0%   0% [bioset]
  269     2 root     SW<      0   0%   0% [bioset]
  272     2 root     SW<      0   0%   0% [bioset]
  275     2 root     SW<      0   0%   0% [bioset]
  278     2 root     SW<      0   0%   0% [bioset]
  281     2 root     SW<      0   0%   0% [bioset]
  284     2 root     SW<      0   0%   0% [bioset]
  287     2 root     SW<      0   0%   0% [bioset]
  298     2 root     SW<      0   0%   0% [bioset]
  303     2 root     SW<      0   0%   0% [bioset]
  308     2 root     SW<      0   0%   0% [bioset]
  313     2 root     SW<      0   0%   0% [bioset]
  318     2 root     SW<      0   0%   0% [bioset]
  323     2 root     SW<      0   0%   0% [bioset]
  328     2 root     SW<      0   0%   0% [bioset]
  333     2 root     SW<      0   0%   0% [bioset]
  372     2 root     SW<      0   0%   0% [occ]
  441     2 root     SW<      0   0%   0% [kworker/0:1H]
  462     2 root     SW<      0   0%   0% [ipv6_addrconf]
16339     2 root     SW       0   0%   0% [kworker/u2:3]
17087     2 root     SW       0   0%   0% [kworker/0:5]
17363     2 root     SW       0   0%   0% [kworker/0:6]
17950     2 root     SW       0   0%   0% [kworker/0:0]
17952     2 root     SW       0   0%   0% [kworker/0:1]
17962     2 root     SW       0   0%   0% [kworker/0:2]
