MemTotal:         432276 kB
MemFree:          271260 kB
MemAvailable:     315428 kB
Buffers:           10832 kB
Cached:            50736 kB
SwapCached:            0 kB
Active:           108984 kB
Inactive:          29556 kB
Active(anon):      77700 kB
Inactive(anon):    13992 kB
Active(file):      31284 kB
Inactive(file):    15564 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         76988 kB
Mapped:            24252 kB
Shmem:             14720 kB
Slab:              14512 kB
SReclaimable:       7816 kB
SUnreclaim:         6696 kB
KernelStack:        1200 kB
PageTables:         2436 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216136 kB
Committed_AS:     277444 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
