MemTotal:         432280 kB
MemFree:          274780 kB
MemAvailable:     321032 kB
Buffers:           11164 kB
Cached:            51984 kB
SwapCached:            0 kB
Active:           101660 kB
Inactive:          32384 kB
Active(anon):      71528 kB
Inactive(anon):    14020 kB
Active(file):      30132 kB
Inactive(file):    18364 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         70912 kB
Mapped:            22868 kB
Shmem:             14652 kB
Slab:              15052 kB
SReclaimable:       8252 kB
SUnreclaim:         6800 kB
KernelStack:        1216 kB
PageTables:         2472 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216140 kB
Committed_AS:     265584 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
