MemTotal:         497976 kB
MemFree:          345064 kB
MemAvailable:     387364 kB
Buffers:           10992 kB
Cached:            50480 kB
SwapCached:            0 kB
Active:           106584 kB
Inactive:          27412 kB
Active(anon):      74100 kB
Inactive(anon):    13016 kB
Active(file):      32484 kB
Inactive(file):    14396 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         72536 kB
Mapped:            20488 kB
Shmem:             14592 kB
Slab:              11116 kB
SReclaimable:       6284 kB
SUnreclaim:         4832 kB
KernelStack:        1056 kB
PageTables:         2412 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248988 kB
Committed_AS:     368756 kB
VmallocTotal:     524288 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
