MemTotal:         432252 kB
MemFree:          282720 kB
MemAvailable:     325416 kB
Buffers:           11796 kB
Cached:            42928 kB
SwapCached:            0 kB
Active:            93908 kB
Inactive:          29540 kB
Active(anon):      69788 kB
Inactive(anon):     7804 kB
Active(file):      24120 kB
Inactive(file):    21736 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                24 kB
Writeback:             0 kB
AnonPages:         68740 kB
Mapped:            24224 kB
Shmem:              8868 kB
Slab:              15888 kB
SReclaimable:       7348 kB
SUnreclaim:         8540 kB
KernelStack:        1304 kB
PageTables:         2392 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216124 kB
Committed_AS:     229796 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
