MemTotal:         496816 kB
MemFree:          241616 kB
MemAvailable:     285204 kB
Buffers:           10920 kB
Cached:           149152 kB
SwapCached:            0 kB
Active:           159388 kB
Inactive:          75700 kB
Active(anon):     127352 kB
Inactive(anon):    60240 kB
Active(file):      32036 kB
Inactive(file):    15460 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         75032 kB
Mapped:            29576 kB
Shmem:            112576 kB
Slab:              12968 kB
SReclaimable:       7328 kB
SUnreclaim:         5640 kB
KernelStack:        1048 kB
PageTables:         1944 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     396288 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
