Mem: 148616K used, 283636K free, 8868K shrd, 11800K buff, 43016K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 4.84 2.51 0.98 4/160 1459
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1066     1 root     R    16596   4% 100% python /usr/sbin/phosphor-mapper --path_namespaces=/xyz/openbmc_project /org/openbmc /org/open_power --interface_namespaces=org.open_power org.openbmc xyz.openbmc_project --blacklists= --interface_blacklists=
 1418     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /var/lib/dropbear/dropbear_rsa_host_key -B
 1077     1 root     S     1984   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
  983     1 root     S     1848   0%   0% obmc-console-server --config /etc/obmc-console.conf ttyVUART0
  985     1 root     S     1712   0%   0% /usr/sbin/rngd -f
    6     2 root     SW       0   0%   0% [ksoftirqd/0]
  186     2 root     SW       0   0%   0% [kworker/0:1]
  489     2 root     RW       0   0%   0% [kworker/0:2]
 1257     2 root     SW       0   0%   0% [kworker/0:6]
  121     2 root     SW       0   0%   0% [kworker/u2:2]
  226     2 root     SW       0   0%   0% [hwrng]
    5     2 root     SW       0   0%   0% [kworker/u2:0]
  242     2 root     SW<      0   0%   0% [bioset]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     SW       0   0%   0% [kworker/0:0]
    4     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
    8     2 root     SW       0   0%   0% [watchdog/0]
    9     2 root     SW       0   0%   0% [kdevtmpfs]
   10     2 root     SW       0   0%   0% [khungtaskd]
   11     2 root     SW       0   0%   0% [kworker/u2:1]
  147     2 root     SW       0   0%   0% [oom_reaper]
  148     2 root     SW<      0   0%   0% [writeback]
  149     2 root     SW<      0   0%   0% [bioset]
  151     2 root     SW<      0   0%   0% [kblockd]
  153     2 root     SW<      0   0%   0% [watchdogd]
  174     2 root     SW<      0   0%   0% [kworker/0:1H]
  188     2 root     SW       0   0%   0% [kswapd0]
  195     2 root     SW<      0   0%   0% [bioset]
  228     2 root     SW<      0   0%   0% [bioset]
  229     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  231     2 root     SW<      0   0%   0% [bioset]
  232     2 root     SW<      0   0%   0% [bioset]
  233     2 root     SW<      0   0%   0% [bioset]
  234     2 root     SW<      0   0%   0% [bioset]
  235     2 root     SW<      0   0%   0% [bioset]
  236     2 root     SW<      0   0%   0% [bioset]
  237     2 root     SW<      0   0%   0% [bioset]
  238     2 root     SW<      0   0%   0% [bioset]
  239     2 root     SW<      0   0%   0% [bioset]
  240     2 root     SW<      0   0%   0% [bioset]
  241     2 root     SW<      0   0%   0% [bioset]
  243     2 root     SW<      0   0%   0% [bioset]
  277     2 root     SW<      0   0%   0% [bioset]
  280     2 root     SW<      0   0%   0% [bioset]
  282     2 root     SW<      0   0%   0% [bioset]
  286     2 root     SW<      0   0%   0% [bioset]
  289     2 root     SW<      0   0%   0% [bioset]
  292     2 root     SW<      0   0%   0% [bioset]
  295     2 root     SW<      0   0%   0% [bioset]
  298     2 root     SW<      0   0%   0% [bioset]
  309     2 root     SW<      0   0%   0% [bioset]
  314     2 root     SW<      0   0%   0% [bioset]
  319     2 root     SW<      0   0%   0% [bioset]
  324     2 root     SW<      0   0%   0% [bioset]
  329     2 root     SW<      0   0%   0% [bioset]
  334     2 root     SW<      0   0%   0% [bioset]
  339     2 root     SW<      0   0%   0% [bioset]
  344     2 root     SW<      0   0%   0% [bioset]
  349     2 root     SW<      0   0%   0% [bioset]
  389     2 root     SW<      0   0%   0% [occ]
  481     2 root     SW<      0   0%   0% [ipv6_addrconf]
  507     2 root     SW       0   0%   0% [ubi_bgt0d]
  513     2 root     SW       0   0%   0% [ubi_bgt4d]
  514     2 root     SW<      0   0%   0% [bioset]
  654     2 root     SW       0   0%   0% [ubifs_bgt0_2]
 1039     2 root     SW       0   0%   0% [ubi_bgt8d]
 1069     2 root     SW       0   0%   0% [kworker/0:3]
 1080     2 root     SW<      0   0%   0% [bioset]
 1100     2 root     SW<      0   0%   0% [bioset]
 1114     2 root     SW       0   0%   0% [ubifs_bgt8_2]
 1127     2 root     SW       0   0%   0% [ubifs_bgt8_4]
 1136     2 root     SW       0   0%   0% [ubifs_bgt8_5]
 1143     2 root     SW<      0   0%   0% [bioset]
 1213     2 root     SW       0   0%   0% [kworker/0:4]
 1230     2 root     SW       0   0%   0% [kworker/0:5]
 1242     2 root     SW       0   0%   0% [ubifs_bgt8_3]
