MemTotal:         432268 kB
MemFree:          278820 kB
MemAvailable:     325036 kB
Buffers:           11256 kB
Cached:            52000 kB
SwapCached:            0 kB
Active:            98176 kB
Inactive:          32808 kB
Active(anon):      68284 kB
Inactive(anon):    14012 kB
Active(file):      29892 kB
Inactive(file):    18796 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         67744 kB
Mapped:            23052 kB
Shmem:             14568 kB
Slab:              14704 kB
SReclaimable:       8024 kB
SUnreclaim:         6680 kB
KernelStack:        1184 kB
PageTables:         2280 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216132 kB
Committed_AS:     259872 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
