MemTotal:         496816 kB
MemFree:          239652 kB
MemAvailable:     283360 kB
Buffers:           10920 kB
Cached:           149144 kB
SwapCached:            0 kB
Active:           164872 kB
Inactive:          71904 kB
Active(anon):     132828 kB
Inactive(anon):    56440 kB
Active(file):      32044 kB
Inactive(file):    15464 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         76728 kB
Mapped:            33616 kB
Shmem:            112556 kB
Slab:              13104 kB
SReclaimable:       7436 kB
SUnreclaim:         5668 kB
KernelStack:        1072 kB
PageTables:         1984 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     405224 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
