MemTotal:         432336 kB
MemFree:          261436 kB
MemAvailable:     307356 kB
Buffers:           10988 kB
Cached:            51644 kB
SwapCached:            0 kB
Active:           116076 kB
Inactive:          30224 kB
Active(anon):      85960 kB
Inactive(anon):    12408 kB
Active(file):      30116 kB
Inactive(file):    17816 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         83680 kB
Mapped:            23732 kB
Shmem:             14700 kB
Slab:              15548 kB
SReclaimable:       8484 kB
SUnreclaim:         7064 kB
KernelStack:        1248 kB
PageTables:         3216 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216168 kB
Committed_AS:     281424 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
