MemTotal:         432252 kB
MemFree:          287860 kB
MemAvailable:     331844 kB
Buffers:           12020 kB
Cached:            43864 kB
SwapCached:            0 kB
Active:            91092 kB
Inactive:          27516 kB
Active(anon):      63788 kB
Inactive(anon):     7824 kB
Active(file):      27304 kB
Inactive(file):    19692 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 8 kB
Writeback:             0 kB
AnonPages:         62736 kB
Mapped:            24724 kB
Shmem:              8888 kB
Slab:              15448 kB
SReclaimable:       7496 kB
SUnreclaim:         7952 kB
KernelStack:        1280 kB
PageTables:         2864 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216124 kB
Committed_AS:     227044 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
