Mem: 161584K used, 271348K free, 35532K shrd, 10712K buff, 69812K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.33 1.31 0.95 3/130 1439
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1435     1 root     R    13192   3% 100% python /usr/sbin/sensor_manager2.py
  796     1 root     S    67240  16%   0% /usr/sbin/mboxd --flash 64M --verbose
  850     1 root     S    34328   8%   0% python /usr/sbin/phosphor-gevent rest_dbus
  899     1 root     S    32640   8%   0% /usr/sbin/power_control.exe 3000 10
  890     1 root     S    32628   8%   0% /usr/sbin/button_reset.exe
  895     1 root     S    32628   8%   0% /usr/sbin/button_power.exe
  896     1 root     S    32616   8%   0% /usr/sbin/host_checkstop.exe
  869     1 root     S    32520   8%   0% /usr/sbin/flash_bios.exe
  798     1 root     S    32516   8%   0% /usr/sbin/host_watchdog.exe
  810     1 root     S    32516   8%   0% /usr/sbin/control_bmc.exe
  811     1 root     S    17900   4%   0% python /usr/sbin/netman.py
  870     1 root     S    17764   4%   0% python /usr/sbin/bmc_update.py
  826     1 root     S    16408   4%   0% python /usr/sbin/obmc-phosphor-userd
  801     1 root     S    16264   4%   0% python /usr/sbin/phosphor-mapper
  809     1 root     S    15624   4%   0% python /usr/sbin/download_manager.py
  859     1 root     S    15588   4%   0% python /usr/sbin/system_manager.py
  794     1 root     S    15568   4%   0% python /usr/sbin/inventory_items.py
  855     1 root     S    15428   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  800     1 root     S    15344   4%   0% python /usr/sbin/chassis_control.py
  781     1 systemd- S    13072   3%   0% /lib/systemd/systemd-timesyncd
  888     1 root     S     6704   2%   0% /usr/sbin/ipmid
  822     1 root     S     5724   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  832     1 root     S     5676   1%   0% /usr/sbin/phosphor-inventory
  553     1 root     S     5596   1%   0% /lib/systemd/systemd-journald
  830     1 root     S     5552   1%   0% /usr/sbin/phosphor-log-manager
  806     1 root     S     5544   1%   0% /usr/sbin/phosphor-ledmanager
  900     1 root     S     5520   1%   0% /usr/sbin/phosphor-host-state-manager
  835     1 root     S     5516   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/id
  805     1 root     S     5516   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/power
  831     1 root     S     5516   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/devices/platform/leds/leds/rear/fault
  828     1 root     S     5512   1%   0% /usr/sbin/phosphor-version-software-manager
  897     1 root     S     5508   1%   0% /usr/sbin/phosphor-bmc-state-manager
  898     1 root     S     5504   1%   0% /usr/sbin/phosphor-chassis-state-manager
    1     0 root     S     5404   1%   0% {systemd} /sbin/init
  823     1 avahi    S     5232   1%   0% avahi-daemon: running [witherspoon.local]
  931     1 root     S     5196   1%   0% /usr/sbin/timemanager
  824   823 avahi    S     5112   1%   0% avahi-daemon: chroot helper
  837     1 root     S     5096   1%   0% /usr/sbin/slpd
  827     1 root     S     5096   1%   0% /usr/sbin/phosphor-eventd -s ${LOG_SIZE_LIMIT} -t ${LOG_COUNT_LIMIT}
  812     1 messageb S     5008   1%   0% /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
  857     1 root     S     3824   1%   0% /usr/sbin/mapper wait /org/openbmc/sensors
  829     1 root     S     3760   1%   0% /usr/sbin/btbridged
