MemTotal:         497964 kB
MemFree:          356928 kB
MemAvailable:     396268 kB
Buffers:           10476 kB
Cached:            43104 kB
SwapCached:            0 kB
Active:            96488 kB
Inactive:          26948 kB
Active(anon):      70016 kB
Inactive(anon):     9024 kB
Active(file):      26472 kB
Inactive(file):    17924 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         69868 kB
Mapped:            19532 kB
Shmem:              9184 kB
Slab:              10108 kB
SReclaimable:       5332 kB
SUnreclaim:         4776 kB
KernelStack:        1000 kB
PageTables:         2288 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248980 kB
Committed_AS:     290720 kB
VmallocTotal:     524288 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
