Mem: 160564K used, 273408K free, 32668K shrd, 10348K buff, 66020K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 0.56 0.44 0.45 2/129 970
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  814     1 root     R    16160   4% 100% python /usr/sbin/phosphor-mapper
  803     1 root     S    67240  15%   0% /usr/sbin/mboxd --flash 64M --verbose
  845     1 root     S    34212   8%   0% python /usr/sbin/phosphor-gevent rest_dbus
  874     1 root     S    32644   8%   0% /usr/sbin/power_control.exe 3000 10
  876     1 root     S    32628   8%   0% /usr/sbin/button_reset.exe
  878     1 root     S    32628   8%   0% /usr/sbin/button_power.exe
  879     1 root     S    32616   8%   0% /usr/sbin/host_checkstop.exe
  868     1 root     S    32520   7%   0% /usr/sbin/flash_bios.exe
  787     1 root     S    32516   7%   0% /usr/sbin/control_bmc.exe
  817     1 root     S    32516   7%   0% /usr/sbin/host_watchdog.exe
  789     1 root     S    17900   4%   0% python /usr/sbin/netman.py
  867     1 root     S    17764   4%   0% python /usr/sbin/bmc_update.py
  794     1 root     S    16356   4%   0% python /usr/sbin/obmc-phosphor-userd
  804     1 root     S    15656   4%   0% python /usr/sbin/inventory_items.py
  859     1 root     S    15632   4%   0% python /usr/sbin/hwmon.py
  799     1 root     S    15632   4%   0% python /usr/sbin/sensor_manager2.py
  801     1 root     S    15624   4%   0% python /usr/sbin/download_manager.py
  853     1 root     S    15584   4%   0% python /usr/sbin/system_manager.py
  922     1 root     S    15428   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  807     1 root     S    15348   4%   0% python /usr/sbin/chassis_control.py
  783     1 systemd- S    13072   3%   0% /lib/systemd/systemd-timesyncd
  793     1 root     S     6816   2%   0% /usr/sbin/netipmid
  825     1 root     S     6224   1%   0% /usr/sbin/ipmid
  809     1 root     S     5652   1%   0% /usr/sbin/phosphor-inventory
  815     1 root     S     5608   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  967     1 root     S     5608   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@400/ucd90160@64
  492     1 root     S     5604   1%   0% /lib/systemd/systemd-journald
  805     1 root     S     5500   1%   0% /usr/sbin/phosphor-log-manager
  875     1 root     S     5492   1%   0% /usr/sbin/phosphor-host-state-manager
  813     1 root     S     5492   1%   0% /usr/sbin/phosphor-version-software-manager
  880     1 root     S     5488   1%   0% /usr/sbin/phosphor-bmc-state-manager
  877     1 root     S     5484   1%   0% /usr/sbin/phosphor-chassis-state-manager
    1     0 root     S     5396   1%   0% {systemd} /sbin/init
  810     1 avahi    S     5232   1%   0% avahi-daemon: running [witherspoon.local]
  926     1 root     S     5196   1%   0% /usr/sbin/timemanager
  837   810 avahi    S     5112   1%   0% avahi-daemon: chroot helper
  808     1 root     S     5096   1%   0% /usr/sbin/phosphor-eventd -s ${LOG_SIZE_LIMIT} -t ${LOG_COUNT_LIMIT}
  821     1 root     S     5096   1%   0% /usr/sbin/slpd
  795     1 messageb S     5000   1%   0% /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
  786     1 root     S     3760   1%   0% /usr/sbin/btbridged
  857     1 root     S     3752   1%   0% /usr/sbin/netman_watch_dns /run/systemd/netif/state
  860     1 root     S     3752   1%   0% /usr/sbin/fan_control.exe -f 6
  611     1 root     S     3532   1%   0% /lib/systemd/systemd-udevd
  798     1 systemd- S     3156   1%   0% /lib/systemd/systemd-networkd
  812     1 root     S     3056   1%   0% /sbin/syslogd -n -C
  940   939 root     S     3040   1%   0% -sh
  952   951 root     S     3040   1%   0% -sh
  934   933 root     S     3040   1%   0% -sh
  949   948 root     S     3040   1%   0% -sh
  931   930 root     S     3040   1%   0% -sh
  788     1 root     S     3040   1%   0% /bin/sh -c realpath /dev/ttyVUART0 | xargs basename | xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
  911   882 root     S     3040   1%   0% -sh
  915   914 root     S     3040   1%   0% -sh
  968   956 root     S     3040   1%   0% -sh
  792   788 root     S     3020   1%   0% xargs /usr/sbin/obmc-console-server --config /etc/obmc-console.conf
  970   956 root     R     2992   1%   0% top -n 1 -b
  969   968 root     S     2992   1%   0% /usr/bin/resize
  811     1 root     S     2992   1%   0% /sbin/klogd -n
  882     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  914     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  956     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  933     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  948     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  951     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  939     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  930     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  955     1 root     S     2556   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  823     1 root     S     1972   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
  797   792 root     S     1840   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyS2
    3     2 root     SW       0   0%   0% [ksoftirqd/0]
  458     2 root     SW<      0   0%   0% [loop0]
    6     2 root     SW       0   0%   0% [kworker/u2:0]
    8     2 root     SW       0   0%   0% [kdevtmpfs]
    9     2 root     SW       0   0%   0% [kworker/u2:1]
    2     0 root     SW       0   0%   0% [kthreadd]
    5     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
