Mem: 160552K used, 271724K free, 14732K shrd, 10884K buff, 51044K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 2.16 1.59 1.21 3/145 1726
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1709     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1702     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1007     1 root     S     1984   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
  958     1 root     S     1848   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyVUART0
  979     1 root     S     1712   0%   0% /usr/sbin/rngd -f
  525     2 root     SWN      0   0%   0% [jffs2_gcd_mtd5]
    6     2 root     SW       0   0%   0% [ksoftirqd/0]
  177     2 root     SW       0   0%   0% [kworker/0:1]
  217     2 root     SW       0   0%   0% [hwrng]
    9     2 root     SW       0   0%   0% [kdevtmpfs]
    5     2 root     SW       0   0%   0% [kworker/u2:0]
    2     0 root     SW       0   0%   0% [kthreadd]
    4     2 root     SW<      0   0%   0% [kworker/0:0H]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
    8     2 root     SW       0   0%   0% [watchdog/0]
   10     2 root     SW       0   0%   0% [khungtaskd]
   11     2 root     SW       0   0%   0% [kworker/u2:1]
  142     2 root     SW       0   0%   0% [oom_reaper]
  143     2 root     SW<      0   0%   0% [writeback]
  144     2 root     SW<      0   0%   0% [bioset]
  146     2 root     SW<      0   0%   0% [kblockd]
  148     2 root     SW<      0   0%   0% [watchdogd]
  185     2 root     SW       0   0%   0% [kswapd0]
  186     2 root     SW<      0   0%   0% [bioset]
  219     2 root     SW<      0   0%   0% [bioset]
  220     2 root     SW<      0   0%   0% [bioset]
  221     2 root     SW<      0   0%   0% [bioset]
  222     2 root     SW<      0   0%   0% [bioset]
  223     2 root     SW<      0   0%   0% [bioset]
  224     2 root     SW<      0   0%   0% [bioset]
  225     2 root     SW<      0   0%   0% [bioset]
  226     2 root     SW<      0   0%   0% [bioset]
  227     2 root     SW<      0   0%   0% [bioset]
  228     2 root     SW<      0   0%   0% [bioset]
  229     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  231     2 root     SW<      0   0%   0% [bioset]
  232     2 root     SW<      0   0%   0% [bioset]
  233     2 root     SW<      0   0%   0% [bioset]
  234     2 root     SW<      0   0%   0% [bioset]
  268     2 root     SW<      0   0%   0% [bioset]
  271     2 root     SW<      0   0%   0% [bioset]
  274     2 root     SW<      0   0%   0% [bioset]
  277     2 root     SW<      0   0%   0% [bioset]
  280     2 root     SW<      0   0%   0% [bioset]
  283     2 root     SW<      0   0%   0% [bioset]
  286     2 root     SW<      0   0%   0% [bioset]
  289     2 root     SW<      0   0%   0% [bioset]
  300     2 root     SW<      0   0%   0% [bioset]
  305     2 root     SW<      0   0%   0% [bioset]
  310     2 root     SW<      0   0%   0% [bioset]
  315     2 root     SW<      0   0%   0% [bioset]
  320     2 root     SW<      0   0%   0% [bioset]
  325     2 root     SW<      0   0%   0% [bioset]
  330     2 root     SW<      0   0%   0% [bioset]
  335     2 root     SW<      0   0%   0% [bioset]
  374     2 root     SW<      0   0%   0% [occ]
  471     2 root     SW<      0   0%   0% [ipv6_addrconf]
  502     2 root     SW<      0   0%   0% [kworker/0:1H]
 1131     2 root     SW       0   0%   0% [kworker/0:6]
 1341     2 root     SW       0   0%   0% [kworker/0:0]
 1538     2 root     SW       0   0%   0% [kworker/0:2]
