MemTotal:         496812 kB
MemFree:          331108 kB
MemAvailable:     374420 kB
Buffers:           10776 kB
Cached:            50532 kB
SwapCached:            0 kB
Active:           112396 kB
Inactive:          31320 kB
Active(anon):      83412 kB
Inactive(anon):    13556 kB
Active(file):      28984 kB
Inactive(file):    17764 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         82424 kB
Mapped:            22476 kB
Shmem:             14560 kB
Slab:              14060 kB
SReclaimable:       7800 kB
SUnreclaim:         6260 kB
KernelStack:        1168 kB
PageTables:         2276 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248404 kB
Committed_AS:     283416 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
