MemTotal:         432252 kB
MemFree:          224840 kB
MemAvailable:     329292 kB
Buffers:           31836 kB
Cached:            74688 kB
SwapCached:            0 kB
Active:           161808 kB
Inactive:          16848 kB
Active(anon):      72304 kB
Inactive(anon):      616 kB
Active(file):      89504 kB
Inactive(file):    16232 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:               160 kB
Writeback:             0 kB
AnonPages:         72148 kB
Mapped:            24008 kB
Shmem:               788 kB
Slab:              18584 kB
SReclaimable:       9224 kB
SUnreclaim:         9360 kB
KernelStack:        1320 kB
PageTables:         2424 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216124 kB
Committed_AS:     250940 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
