MemTotal:         432244 kB
MemFree:          220236 kB
MemAvailable:     322572 kB
Buffers:           31692 kB
Cached:            81240 kB
SwapCached:            0 kB
Active:           161760 kB
Inactive:          22192 kB
Active(anon):      73896 kB
Inactive(anon):     6068 kB
Active(file):      87864 kB
Inactive(file):    16124 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:         71036 kB
Mapped:            25768 kB
Shmem:              8944 kB
Slab:              18044 kB
SReclaimable:       8856 kB
SUnreclaim:         9188 kB
KernelStack:        1232 kB
PageTables:         2320 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216120 kB
Committed_AS:     232560 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
