MemTotal:         432268 kB
MemFree:          276848 kB
MemAvailable:     323816 kB
Buffers:           11364 kB
Cached:            52388 kB
SwapCached:            0 kB
Active:            99032 kB
Inactive:          33160 kB
Active(anon):      69012 kB
Inactive(anon):    14024 kB
Active(file):      30020 kB
Inactive(file):    19136 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         68456 kB
Mapped:            23248 kB
Shmem:             14596 kB
Slab:              15192 kB
SReclaimable:       8308 kB
SUnreclaim:         6884 kB
KernelStack:        1224 kB
PageTables:         2308 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216132 kB
Committed_AS:     261804 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
