Mem: 137568K used, 295364K free, 11480K shrd, 10544K buff, 45768K cached
CPU: 100% usr   0% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.41 1.39 1.05 3/128 1439
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  121     2 root     SW       0   0%   0% [kcompactd0]
  123     2 root     SW<      0   0%   0% [bioset]
  125     2 root     SW<      0   0%   0% [kblockd]
  140     2 root     SW<      0   0%   0% [watchdogd]
  153     2 root     SW<      0   0%   0% [rpciod]
  164     2 root     SW       0   0%   0% [kswapd0]
  165     2 root     SW<      0   0%   0% [nfsiod]
  199     2 root     SW<      0   0%   0% [bioset]
  200     2 root     SW<      0   0%   0% [bioset]
  201     2 root     SW<      0   0%   0% [bioset]
  202     2 root     SW<      0   0%   0% [bioset]
  212     2 root     SW<      0   0%   0% [bioset]
  215     2 root     SW<      0   0%   0% [bioset]
  218     2 root     SW<      0   0%   0% [bioset]
  221     2 root     SW<      0   0%   0% [bioset]
  224     2 root     SW<      0   0%   0% [bioset]
  227     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  233     2 root     SW<      0   0%   0% [bioset]
  244     2 root     SW<      0   0%   0% [bioset]
  249     2 root     SW<      0   0%   0% [bioset]
  254     2 root     SW<      0   0%   0% [bioset]
  259     2 root     SW<      0   0%   0% [bioset]
  264     2 root     SW<      0   0%   0% [bioset]
  269     2 root     SW<      0   0%   0% [bioset]
  275     2 root     SW<      0   0%   0% [bioset]
  281     2 root     SW<      0   0%   0% [bioset]
  371     2 root     SW<      0   0%   0% [ipv6_addrconf]
  376     2 root     SW<      0   0%   0% [deferwq]
  421     2 root     SWN      0   0%   0% [jffs2_gcd_mtd5]
  426     2 root     SW<      0   0%   0% [kworker/0:1H]
 1347     2 root     SW       0   0%   0% [kworker/0:2]
