MemTotal:         496816 kB
MemFree:          240392 kB
MemAvailable:     284060 kB
Buffers:           10920 kB
Cached:           149060 kB
SwapCached:            0 kB
Active:           165600 kB
Inactive:          70696 kB
Active(anon):     133556 kB
Inactive(anon):    55232 kB
Active(file):      32044 kB
Inactive(file):    15464 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         76332 kB
Mapped:            34860 kB
Shmem:            112472 kB
Slab:              13036 kB
SReclaimable:       7396 kB
SUnreclaim:         5640 kB
KernelStack:        1048 kB
PageTables:         1932 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     404156 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
