MemTotal:         496816 kB
MemFree:          250660 kB
MemAvailable:     294236 kB
Buffers:           10920 kB
Cached:           140932 kB
SwapCached:            0 kB
Active:           156760 kB
Inactive:          69352 kB
Active(anon):     124724 kB
Inactive(anon):    53892 kB
Active(file):      32036 kB
Inactive(file):    15460 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         74276 kB
Mapped:            27504 kB
Shmem:            104356 kB
Slab:              12964 kB
SReclaimable:       7316 kB
SUnreclaim:         5648 kB
KernelStack:        1048 kB
PageTables:         1936 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      248408 kB
Committed_AS:     379876 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
