MemTotal:         432268 kB
MemFree:          276488 kB
MemAvailable:     323452 kB
Buffers:           11352 kB
Cached:            52364 kB
SwapCached:            0 kB
Active:            99492 kB
Inactive:          32928 kB
Active(anon):      69256 kB
Inactive(anon):    14024 kB
Active(file):      30236 kB
Inactive(file):    18904 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         68720 kB
Mapped:            23200 kB
Shmem:             14576 kB
Slab:              15228 kB
SReclaimable:       8320 kB
SUnreclaim:         6908 kB
KernelStack:        1216 kB
PageTables:         2360 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216132 kB
Committed_AS:     262052 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
