MemTotal:         432244 kB
MemFree:          221732 kB
MemAvailable:     323808 kB
Buffers:           31696 kB
Cached:            81032 kB
SwapCached:            0 kB
Active:           157980 kB
Inactive:          24708 kB
Active(anon):      72468 kB
Inactive(anon):     6436 kB
Active(file):      85512 kB
Inactive(file):    18272 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                16 kB
Writeback:             0 kB
AnonPages:         69976 kB
Mapped:            25360 kB
Shmem:              8944 kB
Slab:              17872 kB
SReclaimable:       8800 kB
SUnreclaim:         9072 kB
KernelStack:        1232 kB
PageTables:         2340 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216120 kB
Committed_AS:     239248 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
