Mem: 219552K used, 212780K free, 79964K shrd, 10764K buff, 115700K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.87 1.99 1.03 16/150 1149
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1113  1009 root     R    32692   8% 100% flasher.exe bios /tmp/witherspoon_20170704n.pnor /org/openbmc/control/flash/bios
 1124     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1134     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1143     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1145     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
  974     1 root     S     1984   0%   0% /sbin/agetty -8 -L ttyS4 115200 xterm
  949     1 root     S     1848   0%   0% /usr/sbin/obmc-console-server --config /etc/obmc-console.conf ttyVUART0
  948     1 root     R     1712   0%   0% /usr/sbin/rngd -f
  515     2 root     SWN      0   0%   0% [jffs2_gcd_mtd5]
    6     2 root     RW       0   0%   0% [ksoftirqd/0]
  176     2 root     SW       0   0%   0% [kworker/0:1]
  534     2 root     RW       0   0%   0% [kworker/0:2]
    2     0 root     SW       0   0%   0% [kthreadd]
    4     2 root     SW<      0   0%   0% [kworker/0:0H]
    5     2 root     SW       0   0%   0% [kworker/u2:0]
    7     2 root     SW<      0   0%   0% [lru-add-drain]
    8     2 root     SW       0   0%   0% [watchdog/0]
    9     2 root     SW       0   0%   0% [kdevtmpfs]
   10     2 root     SW       0   0%   0% [khungtaskd]
  140     2 root     SW       0   0%   0% [oom_reaper]
  141     2 root     SW<      0   0%   0% [writeback]
  142     2 root     SW<      0   0%   0% [bioset]
  144     2 root     SW<      0   0%   0% [kblockd]
  164     2 root     SW<      0   0%   0% [watchdogd]
  165     2 root     SW       0   0%   0% [kworker/u2:2]
  184     2 root     SW       0   0%   0% [kswapd0]
  185     2 root     SW<      0   0%   0% [bioset]
  217     2 root     SW<      0   0%   0% [bioset]
  218     2 root     SW<      0   0%   0% [bioset]
  219     2 root     SW<      0   0%   0% [bioset]
  220     2 root     SW<      0   0%   0% [bioset]
  221     2 root     SW<      0   0%   0% [bioset]
  222     2 root     SW<      0   0%   0% [bioset]
  223     2 root     SW<      0   0%   0% [bioset]
  224     2 root     SW<      0   0%   0% [bioset]
  225     2 root     SW<      0   0%   0% [bioset]
  226     2 root     SW<      0   0%   0% [bioset]
  227     2 root     SW<      0   0%   0% [bioset]
  228     2 root     SW<      0   0%   0% [bioset]
  229     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  231     2 root     SW<      0   0%   0% [bioset]
  232     2 root     SW<      0   0%   0% [bioset]
  266     2 root     SW<      0   0%   0% [bioset]
  269     2 root     SW<      0   0%   0% [bioset]
  272     2 root     SW<      0   0%   0% [bioset]
  275     2 root     SW<      0   0%   0% [bioset]
  278     2 root     SW<      0   0%   0% [bioset]
  281     2 root     SW<      0   0%   0% [bioset]
  284     2 root     SW<      0   0%   0% [bioset]
  287     2 root     SW<      0   0%   0% [bioset]
  298     2 root     SW<      0   0%   0% [bioset]
  303     2 root     SW<      0   0%   0% [bioset]
  308     2 root     SW<      0   0%   0% [bioset]
  313     2 root     SW<      0   0%   0% [bioset]
  318     2 root     SW<      0   0%   0% [bioset]
  323     2 root     SW<      0   0%   0% [bioset]
  328     2 root     SW<      0   0%   0% [bioset]
  333     2 root     SW<      0   0%   0% [bioset]
  372     2 root     SW<      0   0%   0% [occ]
  441     2 root     SW<      0   0%   0% [kworker/0:1H]
  462     2 root     SW<      0   0%   0% [ipv6_addrconf]
  868     2 root     SW       0   0%   0% [kworker/0:3]
  881     2 root     SW       0   0%   0% [kworker/0:4]
