Mem: 136928K used, 296004K free, 8780K shrd, 10660K buff, 43396K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 4.48 2.64 1.44 4/135 2306
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  120     2 root     SW<      0   0%   0% [writeback]
  121     2 root     SW       0   0%   0% [kcompactd0]
  123     2 root     SW<      0   0%   0% [bioset]
  125     2 root     SW<      0   0%   0% [kblockd]
  140     2 root     SW<      0   0%   0% [watchdogd]
  153     2 root     SW<      0   0%   0% [rpciod]
  164     2 root     SW       0   0%   0% [kswapd0]
  165     2 root     SW<      0   0%   0% [nfsiod]
  199     2 root     SW<      0   0%   0% [bioset]
  200     2 root     SW<      0   0%   0% [bioset]
  201     2 root     SW<      0   0%   0% [bioset]
  202     2 root     SW<      0   0%   0% [bioset]
  212     2 root     SW<      0   0%   0% [bioset]
  215     2 root     SW<      0   0%   0% [bioset]
  218     2 root     SW<      0   0%   0% [bioset]
  221     2 root     SW<      0   0%   0% [bioset]
  224     2 root     SW<      0   0%   0% [bioset]
  227     2 root     SW<      0   0%   0% [bioset]
  230     2 root     SW<      0   0%   0% [bioset]
  233     2 root     SW<      0   0%   0% [bioset]
  244     2 root     SW<      0   0%   0% [bioset]
  249     2 root     SW<      0   0%   0% [bioset]
  254     2 root     SW<      0   0%   0% [bioset]
  259     2 root     SW<      0   0%   0% [bioset]
  264     2 root     SW<      0   0%   0% [bioset]
  269     2 root     SW<      0   0%   0% [bioset]
  275     2 root     SW<      0   0%   0% [bioset]
  281     2 root     SW<      0   0%   0% [bioset]
  371     2 root     SW<      0   0%   0% [ipv6_addrconf]
  376     2 root     SW<      0   0%   0% [deferwq]
  421     2 root     SWN      0   0%   0% [jffs2_gcd_mtd5]
  426     2 root     SW<      0   0%   0% [kworker/0:1H]
  442     2 root     SW       0   0%   0% [kworker/0:2]
  878     2 root     SW       0   0%   0% [kworker/0:4]
 1518     2 root     SW       0   0%   0% [kworker/u2:0]
 1533     2 root     SW       0   0%   0% [kworker/0:0]
 1690     2 root     SW       0   0%   0% [kworker/0:3]
 1898     2 root     SW       0   0%   0% [kworker/0:5]
 1900     2 root     SW       0   0%   0% [kworker/0:6]
 2235     2 root     RW       0   0%   0% [fsi_master_ipol]
