MemTotal:         432336 kB
MemFree:          260664 kB
MemAvailable:     306132 kB
Buffers:           11028 kB
Cached:            51240 kB
SwapCached:            0 kB
Active:           119528 kB
Inactive:          28540 kB
Active(anon):      87116 kB
Inactive(anon):    13440 kB
Active(file):      32412 kB
Inactive(file):    15100 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         85816 kB
Mapped:            23040 kB
Shmem:             14756 kB
Slab:              15572 kB
SReclaimable:       8452 kB
SUnreclaim:         7120 kB
KernelStack:        1208 kB
PageTables:         2500 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216168 kB
Committed_AS:     297144 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
