Mem: 219864K used, 212436K free, 79972K shrd, 10776K buff, 115716K cached
CPU:   0% usr 100% sys   0% nic   0% idle   0% io   0% irq   0% sirq
Load average: 1.84 2.14 1.13 15/154 1156
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1121  1015 root     R    32692   8% 100% flasher.exe bios /tmp/witherspoon_20170704n.pnor /org/openbmc/control/flash/bios
  944     1 root     S    69320  16%   0% /usr/sbin/mboxd --flash 64M --window-size 1M
 1054     1 root     S    32624   8%   0% /usr/sbin/power_control.exe 3000 10
 1050     1 root     S    32616   8%   0% /usr/sbin/button_reset.exe
 1049     1 root     S    32616   8%   0% /usr/sbin/button_power.exe
 1015     1 root     S    32508   8%   0% /usr/sbin/flash_bios.exe
  937     1 root     S    32504   8%   0% /usr/sbin/control_bmc.exe
 1000     1 root     S    31008   7%   0% python /usr/sbin/phosphor-gevent rest_dbus
  943     1 root     S    18004   4%   0% python /usr/sbin/netman.py
 1016     1 root     S    17768   4%   0% python /usr/sbin/bmc_update.py
  932     1 root     S    16460   4%   0% python /usr/sbin/obmc-phosphor-userd
  929     1 root     S    16300   4%   0% python /usr/sbin/phosphor-mapper
    1     0 root     S    16188   4%   0% {systemd} /sbin/init
 1026     1 root     S    15676   4%   0% python /usr/sbin/hwmon.py
  927     1 root     S    15668   4%   0% python /usr/sbin/download_manager.py
  957     1 root     S    15664   4%   0% python /usr/sbin/sensor_manager2.py
  947     1 root     S    15656   4%   0% python /usr/sbin/inventory_items.py
 1007     1 root     S    15632   4%   0% python /usr/sbin/system_manager.py
 1001     1 root     S    15440   4%   0% {settings_manage} /usr/bin/python -u /usr/sbin/settings_manager.py
  931     1 root     S    15288   4%   0% python /usr/sbin/chassis_control.py
  886     1 systemd- R    14932   3%   0% /lib/systemd/systemd-timesyncd
  648     1 root     S    13492   3%   0% /lib/systemd/systemd-journald
 1046     1 root     S     7020   2%   0% /usr/sbin/ipmid
  954     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@400/ucd90160@64
  953     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@70
  966     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@70
  936     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@380/tmp275@4a
  942     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/max31785@52
  934     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@140/ir35221@71
  938     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@180/ir35221@71
  946     1 root     R     6048   1%   0% /usr/sbin/phosphor-hwmon-readd -o /ahb/apb/i2c@1e78a000/i2c-bus@100/bmp280@77
  973     1 root     S     5924   1%   0% /usr/sbin/phosphor-version-software-manager
  968     1 root     S     5920   1%   0% /usr/sbin/phosphor-dump-manager
  951     1 root     S     5916   1%   0% /usr/sbin/phosphor-log-manager
  950     1 root     S     5896   1%   0% /usr/sbin/phosphor-dump-monitor
  935     1 root     S     5880   1%   0% /usr/sbin/phosphor-inventory
  964     1 root     S     5860   1%   0% /usr/sbin/openpower-update-manager
  933     1 root     S     5812   1%   0% /usr/sbin/phosphor-download-manager
  949     1 root     S     5756   1%   0% /usr/sbin/phosphor-image-updater
  956     1 root     S     5748   1%   0% /usr/sbin/phosphor-ledmanager
 1052     1 root     S     5724   1%   0% /usr/sbin/phosphor-host-state-manager
  928     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/fault
  939     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/id
  930     1 root     S     5720   1%   0% /usr/sbin/phosphor-ledcontroller -p /sys/class/leds/rear/power
 1048     1 root     S     5716   1%   0% /usr/sbin/phosphor-chassis-state-manager
 1051     1 root     S     5716   1%   0% /usr/sbin/phosphor-bmc-state-manager
  965     1 systemd- S     5704   1%   0% /lib/systemd/systemd-networkd
 1022     1 root     S     5316   1%   0% /usr/sbin/openpower-occ-control
 1010     1 root     S     5280   1%   0% /usr/sbin/phosphor-fru-fault-monitor
  963     1 avahi    R     5260   1%   0% avahi-daemon: running [witherspoon.local]
 1082     1 root     S     5220   1%   0% /usr/sbin/timemanager
  958     1 messageb S     5132   1%   0% /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
  976   963 avahi    S     5128   1%   0% avahi-daemon: chroot helper
  977     1 root     S     5120   1%   0% /usr/sbin/slpd
  998     1 root     S     5104   1%   0% /usr/sbin/phosphor-dbus-monitor
  875     1 root     S     3948   1%   0% /lib/systemd/systemd-udevd
  948     1 root     R     3772   1%   0% /usr/sbin/btbridged
 1008     1 root     S     3768   1%   0% /usr/sbin/netman_watch_dns /run/systemd/netif/state
 1109  1108 root     S     3008   1%   0% -sh
 1116  1115 root     S     3008   1%   0% -sh
 1126  1125 root     S     3008   1%   0% -sh
 1133  1132 root     S     3008   1%   0% -sh
 1143  1142 root     S     3008   1%   0% -sh
 1147  1146 root     S     3008   1%   0% -sh
 1153  1152 root     S     3008   1%   0% -sh
  940     1 root     S     2992   1%   0% /sbin/syslogd -n
  945     1 root     S     2992   1%   0% /sbin/klogd -n
 1154  1152 root     R     2992   1%   0% top -n 1 -b
 1119     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1108     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1115     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1125     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
 1132     1 root     S     2568   1%   0% /usr/sbin/dropbear -i -r /etc/dropbear/dropbear_rsa_host_key -B
