MemTotal:         432280 kB
MemFree:          275272 kB
MemAvailable:     321416 kB
Buffers:           11120 kB
Cached:            51952 kB
SwapCached:            0 kB
Active:           101348 kB
Inactive:          32332 kB
Active(anon):      71232 kB
Inactive(anon):    14016 kB
Active(file):      30116 kB
Inactive(file):    18316 kB
Unevictable:           0 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                 0 kB
Writeback:             0 kB
AnonPages:         70624 kB
Mapped:            22768 kB
Shmem:             14640 kB
Slab:              14968 kB
SReclaimable:       8208 kB
SUnreclaim:         6760 kB
KernelStack:        1216 kB
PageTables:         2440 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      216140 kB
Committed_AS:     265336 kB
VmallocTotal:    1572864 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
